timestamp,portfolio_value,cash
2026-07-21T08:57:18.536980,1003359.5,878345.18
2026-07-21T08:57:53.237644,1003359.5,878345.18
2026-07-21T08:58:42.506289,1003359.5,878345.18
2026-07-21T09:04:42.001785,1003397.73,878345.18
2026-07-21T09:06:37.584048,1003397.73,878345.18
2026-07-21T09:23:02.178919,1003403.05,878345.18
2026-07-21T09:26:16.706485,1003453.47,878345.18
2026-07-21T09:31:18.840779,1003552.35,878345.18
2026-07-21T09:31:49.110966,1003552.35,878345.18
2026-07-21T09:31:59.784399,1003552.35,878345.18
2026-07-21T09:32:10.269969,1003552.35,878345.18
2026-07-21T09:32:20.512781,1003552.35,878345.18
2026-07-21T09:32:31.001900,1003552.35,878345.18
2026-07-21T09:32:41.614608,1003552.35,878345.18
2026-07-21T09:32:52.435164,1003552.35,878345.18
2026-07-21T09:33:03.060163,1003552.35,878345.18
2026-07-21T09:36:07.267270,1003534.38,878345.18
2026-07-21T09:36:31.182131,1003534.38,878345.18
2026-07-21T09:41:43.417858,1003534.38,878345.18
2026-07-21T09:42:08.985228,1003534.38,878345.18
2026-07-21T09:42:19.882577,1003534.38,878345.18
2026-07-21T09:42:30.183999,1003534.38,878345.18
2026-07-21T09:42:40.597786,1003534.38,878345.18
2026-07-21T09:42:51.674554,1003557.09,878345.18
2026-07-21T09:43:02.863508,1003557.09,878345.18
2026-07-21T09:43:13.088200,1003557.09,878345.18
2026-07-21T09:43:23.275588,1003640.16,878345.18
2026-07-21T09:43:34.044663,1003640.16,878345.18
2026-07-21T09:44:29.280453,1003540.04,878345.18
2026-07-21T09:49:53.099725,1003731.55,878345.18
2026-07-21T09:56:21.980917,1003663.97,878345.18
2026-07-21T09:56:32.536631,1003718.26,878345.18
2026-07-21T09:56:43.030358,1003718.26,878345.18
2026-07-21T09:56:53.594154,1003718.26,878345.18
2026-07-21T09:57:08.594737,1003718.26,878345.18
2026-07-21T09:57:15.095948,1003718.26,878345.18
2026-07-21T09:57:25.583460,1003718.26,878345.18
2026-07-21T09:57:36.199334,1003718.26,878345.18
2026-07-21T09:57:46.978882,1003623.6,878345.18
2026-07-21T09:57:56.977528,1003623.6,878345.18
2026-07-21T09:59:15.108860,1003623.6,352008.28
2026-07-21T09:59:31.916574,1003623.6,301776.91882
2026-07-21T09:59:33.382026,1003623.6,251545.55764
2026-07-21T09:59:40.223503,1003623.6,201314.19646
2026-07-21T09:59:43.973163,1003623.6,151082.83528
2026-07-21T09:59:50.000659,1003623.6,100851.47409999999
2026-07-21T09:59:55.802473,1003623.6,50620.11291999999
2026-07-21T10:00:03.197564,1003623.6,388.7517399999924
2026-07-21T10:00:13.707457,1003652.14,99.0
2026-07-21T10:15:53.501669,1003843.97,0.0
2026-07-21T10:17:05.522803,1003972.49,0.0
2026-07-21T10:17:24.548356,1003972.49,0.0
2026-07-21T10:17:35.187031,1003904.22,0.0
2026-07-21T10:17:46.071400,1003846.07,0.0
2026-07-21T10:17:56.807392,1003897.11,0.0
2026-07-21T10:18:07.885634,1003828.47,0.0
2026-07-21T10:18:18.086252,1003828.47,0.0
2026-07-21T10:18:29.007997,1003828.47,0.0
2026-07-21T10:18:39.815891,1003828.47,0.0
2026-07-21T10:25:16.991101,1004059.27,0.0
2026-07-21T10:25:36.332962,1004059.27,0.0
2026-07-21T10:25:47.030531,1004059.27,0.0
