timestamp,portfolio_value,cash
2026-07-20T13:18:44.561770,1000000.0,1000000.0
2026-07-20T13:19:14.585737,1000000.0,800000.0
2026-07-20T13:19:44.996203,999998.66,800000.01
2026-07-20T13:20:15.398061,999998.66,800000.01
2026-07-20T13:21:05.976688,999976.76,800000.0
2026-07-20T13:21:36.351950,999967.93,799999.99
2026-07-20T13:22:06.749168,999926.4,799999.99
2026-07-20T13:22:37.107198,999871.01,800000.0
2026-07-20T13:23:12.469348,999861.56,799814.73
2026-07-20T13:23:42.823641,999860.42,799814.72
2026-07-20T13:24:13.196501,999860.26,799814.72
2026-07-20T13:24:43.608994,999732.4,799814.72
2026-07-20T13:25:14.200143,999773.65,799814.72
2026-07-20T13:25:44.807888,999856.97,799814.72
2026-07-20T13:26:15.213152,999856.97,799814.72
2026-07-20T13:29:35.730094,999789.34,799814.73
2026-07-20T13:30:12.168954,999788.35,799833.68
2026-07-20T13:30:22.595934,999788.35,799833.68
2026-07-20T13:30:33.209599,999786.57,799833.68
2026-07-20T13:30:43.707954,999786.57,799833.68
2026-07-20T13:30:54.203464,999786.57,799833.68
2026-07-20T13:31:04.636092,999786.57,799833.68
2026-07-20T13:31:15.070412,999786.57,799833.68
2026-07-20T13:31:25.527097,999786.57,799833.68
2026-07-20T13:31:35.980086,999786.57,799833.68
2026-07-20T13:31:46.422064,999786.57,799833.68
2026-07-20T13:31:56.867100,999786.57,799833.68
2026-07-20T13:32:07.298230,999786.57,799833.68
2026-07-20T13:32:17.724630,999786.57,799833.68
2026-07-20T13:32:28.134808,999786.57,799833.68
2026-07-20T13:32:38.572393,999786.57,799833.68
2026-07-20T13:32:48.980448,1000251.39,799833.68
2026-07-20T13:32:59.407344,1000251.39,799833.68
2026-07-20T13:33:09.869434,1000251.39,799833.68
2026-07-20T13:33:20.318170,1000394.91,799833.68
2026-07-20T13:33:30.765909,1000394.91,799833.68
2026-07-20T13:33:41.203175,1000394.91,799833.68
2026-07-20T13:33:51.655668,1000394.91,799833.68
2026-07-20T13:34:02.128310,1000394.91,799833.68
2026-07-20T13:34:12.553573,1000394.91,799833.68
2026-07-20T13:34:22.992117,1000394.91,799833.68
2026-07-20T13:34:33.417209,1000394.91,799833.68
2026-07-20T13:34:43.862776,1000394.91,799833.68
2026-07-20T13:34:54.292105,1000394.91,799833.68
2026-07-20T13:35:04.728760,1000488.41,799833.68
2026-07-20T13:35:15.181521,1000488.41,799833.68
2026-07-20T13:35:25.622631,1000488.41,799833.68
2026-07-20T13:35:36.074736,1000488.41,799833.68
2026-07-20T13:35:46.510336,1000488.41,799833.68
2026-07-20T13:35:56.963360,1000488.41,799833.68
2026-07-20T13:36:07.419684,1000488.41,799833.68
2026-07-20T13:36:17.882222,1000488.41,799833.68
2026-07-20T13:36:28.366767,1000488.41,799833.68
2026-07-20T13:36:38.823123,1000488.41,799833.68
