timestamp,portfolio_value,cash
2026-07-20T11:50:00.000000,100000.0,100000.0
2026-07-20T12:06:14.989321,99967.46,89994.68
2026-07-20T12:06:52.093673,99971.2,89994.68
2026-07-20T12:07:02.435157,99971.2,89994.68
2026-07-20T12:07:12.769735,99971.2,89994.68
2026-07-20T12:07:23.091017,99971.2,89994.68
2026-07-20T12:07:33.402531,99971.2,89994.68
2026-07-20T12:07:43.729506,99971.2,89994.68
2026-07-20T12:07:54.058116,99971.2,89994.68
2026-07-20T12:08:04.383249,99971.2,89994.68
2026-07-20T12:08:14.697910,99971.2,89994.68
2026-07-20T12:08:25.010851,99971.2,89994.68
2026-07-20T12:08:35.332238,99971.2,89994.68
2026-07-20T12:08:45.667540,99971.2,89994.68
2026-07-20T12:08:55.987624,99971.2,89994.68
2026-07-20T12:09:06.304009,99971.2,89994.68
2026-07-20T12:09:16.615702,99971.2,89994.68
2026-07-20T12:09:26.934496,99971.2,89994.68
2026-07-20T12:09:37.253770,99971.2,89994.68
2026-07-20T12:09:47.584574,99971.2,89994.68
2026-07-20T12:11:36.412168,99968.37,89994.68
2026-07-20T12:12:06.830885,99968.37,89994.68
2026-07-20T12:12:17.151682,99968.37,89994.68
2026-07-20T12:12:27.475130,99968.37,89994.68
2026-07-20T12:12:37.867782,99968.37,89994.68
2026-07-20T12:12:48.238550,99968.37,89994.68
2026-07-20T12:12:58.566262,99968.37,89994.68
2026-07-20T12:13:08.896421,99968.37,89994.68
2026-07-20T12:13:19.210785,99968.37,89994.68
2026-07-20T12:13:29.521201,99968.37,89994.68
2026-07-20T12:13:39.830729,99968.37,89994.68
2026-07-20T12:13:50.144716,99968.37,89994.68
2026-07-20T12:14:00.454781,99968.37,89994.68
2026-07-20T12:14:10.764586,99978.94,89994.68
2026-07-20T12:14:21.081397,99978.94,89994.68
2026-07-20T12:14:31.448241,99978.94,89994.68
2026-07-20T12:14:41.804953,99978.94,89994.68
2026-07-20T12:14:52.232328,99978.94,89994.68
2026-07-20T12:15:02.789036,99978.94,89994.68
2026-07-20T12:15:13.266813,99978.94,89994.68
2026-07-20T12:15:23.582006,99978.94,89994.68
2026-07-20T12:15:33.940783,99978.94,89994.68
